,Geographic Cluster Name,STEM,Free,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score
372,SOUTH SHORE,STEM,Free,face_to_face,1,0.0,18.0,41.76649857,0.0,52010.0,27903.0,0.017,0.949,0.014,0.002,2.8,29.5,15.8,9.8,37.3,26789.0,50.5
373,SOUTH SHORE,STEM,Not Free,face_to_face,21,0.0,99.0,41.76622826714287,0.0,52010.0,27903.0,0.017,0.949,0.014,0.002,2.8,29.5,15.8,9.8,37.3,26789.0,50.5
374,UPTOWN,Non-STEM,Free,face_to_face,493,109232.0,31.31440162271805,41.96019616430041,221.5659229208925,56362.0,40324.0,0.142,0.2,0.516,0.114,4.4,19.0,3.3,9.8,24.4,42112.0,32.4
375,UPTOWN,Non-STEM,Free,online,2,184139.0,99.0,,92069.5,56362.0,40324.0,0.142,0.2,0.516,0.114,4.4,19.0,3.3,9.8,24.4,42112.0,32.4
376,UPTOWN,Non-STEM,Not Free,face_to_face,240,3401.0,34.87916666666667,41.968355131458374,14.170833333333333,56362.0,40324.0,0.142,0.2,0.516,0.114,4.4,19.0,3.3,9.8,24.4,42112.0,32.4
377,UPTOWN,Non-STEM,Not Free,online,11,220.0,24.90909090909091,41.97095038818181,20.0,56362.0,40324.0,0.142,0.2,0.516,0.114,4.4,19.0,3.3,9.8,24.4,42112.0,32.4
378,UPTOWN,STEM,Free,face_to_face,15,345.0,20.866666666666667,41.96618576133333,23.0,56362.0,40324.0,0.142,0.2,0.516,0.114,4.4,19.0,3.3,9.8,24.4,42112.0,32.4
379,UPTOWN,STEM,Not Free,face_to_face,21,57.0,73.0,41.96810931238095,2.7142857142857144,56362.0,40324.0,0.142,0.2,0.516,0.114,4.4,19.0,3.3,9.8,24.4,42112.0,32.4
380,WASHINGTON HEIGHTS,Non-STEM,Free,face_to_face,565,101339.0,36.64247787610619,41.72264476713253,179.36106194690265,26493.0,42053.0,0.01,0.974,0.005,0.0,0.8,20.0,14.2,11.4,40.0,24294.0,45.9
381,WASHINGTON HEIGHTS,Non-STEM,Free,online,4,481.0,29.25,,120.25,26493.0,42053.0,0.01,0.974,0.005,0.0,0.8,20.0,14.2,11.4,40.0,24294.0,45.9
382,WASHINGTON HEIGHTS,Non-STEM,Not Free,face_to_face,208,3346.0,31.903846153846153,41.72256128874996,16.08653846153846,26493.0,42053.0,0.01,0.974,0.005,0.0,0.8,20.0,14.2,11.4,40.0,24294.0,45.9
383,WASHINGTON HEIGHTS,Non-STEM,Not Free,online,3,18.0,15.0,41.72058106,6.0,26493.0,42053.0,0.01,0.974,0.005,0.0,0.8,20.0,14.2,11.4,40.0,24294.0,45.9
384,WASHINGTON HEIGHTS,STEM,Free,face_to_face,68,5020.0,38.13235294117647,41.71967798264706,73.82352941176471,26493.0,42053.0,0.01,0.974,0.005,0.0,0.8,20.0,14.2,11.4,40.0,24294.0,45.9
385,WASHINGTON HEIGHTS,STEM,Not Free,face_to_face,9,30.0,89.88888888888889,41.72020340222222,3.3333333333333335,26493.0,42053.0,0.01,0.974,0.005,0.0,0.8,20.0,14.2,11.4,40.0,24294.0,45.9
386,WASHINGTON PARK,Non-STEM,Free,face_to_face,84,4690.0,45.51190476190476,41.78951358833329,55.833333333333336,11717.0,21899.0,0.009,0.97,0.007,0.001,2.3,41.8,17.9,16.5,39.4,16193.0,61.3
387,WASHINGTON PARK,Non-STEM,Free,online,1,20.0,99.0,41.78852081,20.0,11717.0,21899.0,0.009,0.97,0.007,0.001,2.3,41.8,17.9,16.5,39.4,16193.0,61.3
388,WASHINGTON PARK,Non-STEM,Not Free,face_to_face,159,1730.0,52.515723270440255,41.78884482264157,10.880503144654089,11717.0,21899.0,0.009,0.97,0.007,0.001,2.3,41.8,17.9,16.5,39.4,16193.0,61.3
389,WASHINGTON PARK,Non-STEM,Not Free,online,66,1575.0,24.272727272727273,41.79016737212122,23.863636363636363,11717.0,21899.0,0.009,0.97,0.007,0.001,2.3,41.8,17.9,16.5,39.4,16193.0,61.3
390,WASHINGTON PARK,STEM,Free,face_to_face,9,154.0,24.555555555555557,41.78912396000001,17.11111111111111,11717.0,21899.0,0.009,0.97,0.007,0.001,2.3,41.8,17.9,16.5,39.4,16193.0,61.3
391,WASHINGTON PARK,STEM,Not Free,face_to_face,9,0.0,99.0,41.78850174000001,0.0,11717.0,21899.0,0.009,0.97,0.007,0.001,2.3,41.8,17.9,16.5,39.4,16193.0,61.3
392,WEST ELSDON,Non-STEM,Free,face_to_face,15,1133.0,69.0,41.78908132133334,75.53333333333333,18109.0,51003.0,0.79,0.014,0.179,0.012,5.9,10.2,9.7,26.0,40.0,23007.0,54.0
393,WEST ELSDON,Non-STEM,Not Free,face_to_face,200,1991.0,12.365,41.78891515919987,9.955,18109.0,51003.0,0.79,0.014,0.179,0.012,5.9,10.2,9.7,26.0,40.0,23007.0,54.0
394,WEST ELSDON,Non-STEM,Not Free,online,12,150.0,8.75,41.787683168333345,12.5,18109.0,51003.0,0.79,0.014,0.179,0.012,5.9,10.2,9.7,26.0,40.0,23007.0,54.0
395,WEST ELSDON,STEM,Free,face_to_face,1,10.0,99.0,41.79483414,10.0,18109.0,51003.0,0.79,0.014,0.179,0.012,5.9,10.2,9.7,26.0,40.0,23007.0,54.0
396,WEST ELSDON,STEM,Not Free,face_to_face,3,30.0,5.333333333333333,41.79221090000001,10.0,18109.0,51003.0,0.79,0.014,0.179,0.012,5.9,10.2,9.7,26.0,40.0,23007.0,54.0
397,WEST ENGLEWOOD,Non-STEM,Free,face_to_face,328,20447.0,30.11280487804878,41.77816485265236,62.33841463414634,35505.0,26654.0,0.022,0.963,0.004,0.001,2.5,29.9,24.5,19.5,43.0,17441.0,64.1
398,WEST ENGLEWOOD,Non-STEM,Not Free,face_to_face,149,3612.0,51.20805369127517,41.777801206778484,24.241610738255034,35505.0,26654.0,0.022,0.963,0.004,0.001,2.5,29.9,24.5,19.5,43.0,17441.0,64.1
399,WEST ENGLEWOOD,Non-STEM,Not Free,online,14,152.0,45.357142857142854,41.78436987999999,10.857142857142858,35505.0,26654.0,0.022,0.963,0.004,0.001,2.5,29.9,24.5,19.5,43.0,17441.0,64.1
400,WEST ENGLEWOOD,STEM,Free,face_to_face,1,9918.0,99.0,41.77909851,9918.0,35505.0,26654.0,0.022,0.963,0.004,0.001,2.5,29.9,24.5,19.5,43.0,17441.0,64.1
401,WEST ENGLEWOOD,STEM,Not Free,face_to_face,6,0.0,99.0,41.7791996,0.0,35505.0,26654.0,0.022,0.963,0.004,0.001,2.5,29.9,24.5,19.5,43.0,17441.0,64.1
402,WEST LAWN,Non-STEM,Free,face_to_face,237,79991.0,53.32067510548523,41.779427688312225,337.51476793248946,33355.0,46891.0,0.8,0.042,0.148,0.006,7.0,14.4,10.3,28.2,40.9,21706.0,59.2
403,WEST LAWN,Non-STEM,Free,online,3,1852.0,67.33333333333333,,617.3333333333334,33355.0,46891.0,0.8,0.042,0.148,0.006,7.0,14.4,10.3,28.2,40.9,21706.0,59.2
404,WEST LAWN,Non-STEM,Not Free,face_to_face,323,6383.0,27.572755417956657,41.774729986749506,19.761609907120743,33355.0,46891.0,0.8,0.042,0.148,0.006,7.0,14.4,10.3,28.2,40.9,21706.0,59.2
405,WEST LAWN,Non-STEM,Not Free,online,5,65.0,13.0,41.7748642,13.0,33355.0,46891.0,0.8,0.042,0.148,0.006,7.0,14.4,10.3,28.2,40.9,21706.0,59.2
406,WEST LAWN,STEM,Free,face_to_face,17,2073.0,46.23529411764706,41.775618162941186,121.94117647058823,33355.0,46891.0,0.8,0.042,0.148,0.006,7.0,14.4,10.3,28.2,40.9,21706.0,59.2
407,WEST LAWN,STEM,Not Free,face_to_face,7,0.0,99.0,41.77489853000001,0.0,33355.0,46891.0,0.8,0.042,0.148,0.006,7.0,14.4,10.3,28.2,40.9,21706.0,59.2
408,WEST PULLMAN,Non-STEM,Free,face_to_face,318,101007.0,61.37106918238994,41.67581787499998,317.6320754716981,29651.0,39601.0,0.051,0.931,0.006,0.0,2.9,19.4,20.7,14.1,39.1,22615.0,53.5
409,WEST PULLMAN,Non-STEM,Free,online,2,18.0,61.5,41.67711258,9.0,29651.0,39601.0,0.051,0.931,0.006,0.0,2.9,19.4,20.7,14.1,39.1,22615.0,53.5
410,WEST PULLMAN,Non-STEM,Not Free,face_to_face,183,3015.0,45.39344262295082,41.67134125644814,16.475409836065573,29651.0,39601.0,0.051,0.931,0.006,0.0,2.9,19.4,20.7,14.1,39.1,22615.0,53.5
411,WEST PULLMAN,Non-STEM,Not Free,online,30,462.0,62.233333333333334,41.670047759999996,15.4,29651.0,39601.0,0.051,0.931,0.006,0.0,2.9,19.4,20.7,14.1,39.1,22615.0,53.5
412,WEST PULLMAN,STEM,Free,face_to_face,25,632.0,77.52,41.67688384959998,25.28,29651.0,39601.0,0.051,0.931,0.006,0.0,2.9,19.4,20.7,14.1,39.1,22615.0,53.5
413,WEST PULLMAN,STEM,Not Free,face_to_face,4,0.0,99.0,41.673023225,0.0,29651.0,39601.0,0.051,0.931,0.006,0.0,2.9,19.4,20.7,14.1,39.1,22615.0,53.5
414,WEST RIDGE,Non-STEM,Free,face_to_face,372,57345.0,42.22043010752688,41.99165238631703,154.15322580645162,71942.0,47323.0,0.204,0.111,0.427,0.225,8.1,14.6,6.3,17.4,39.4,27671.0,52.1
415,WEST RIDGE,Non-STEM,Free,online,2,560.0,14.0,,280.0,71942.0,47323.0,0.204,0.111,0.427,0.225,8.1,14.6,6.3,17.4,39.4,27671.0,52.1
416,WEST RIDGE,Non-STEM,Not Free,face_to_face,490,6901.0,45.51632653061225,42.00142671818363,14.083673469387755,71942.0,47323.0,0.204,0.111,0.427,0.225,8.1,14.6,6.3,17.4,39.4,27671.0,52.1
417,WEST RIDGE,Non-STEM,Not Free,online,69,1260.0,32.594202898550726,42.000306889420266,18.26086956521739,71942.0,47323.0,0.204,0.111,0.427,0.225,8.1,14.6,6.3,17.4,39.4,27671.0,52.1
418,WEST RIDGE,STEM,Free,face_to_face,7,268.0,41.42857142857143,41.99902452428572,38.285714285714285,71942.0,47323.0,0.204,0.111,0.427,0.225,8.1,14.6,6.3,17.4,39.4,27671.0,52.1
419,WEST RIDGE,STEM,Not Free,face_to_face,42,177.0,59.73809523809524,42.002821057857126,4.214285714285714,71942.0,47323.0,0.204,0.111,0.427,0.225,8.1,14.6,6.3,17.4,39.4,27671.0,52.1
420,WEST RIDGE,STEM,Not Free,online,4,50.0,8.25,42.005194662499996,12.5,71942.0,47323.0,0.204,0.111,0.427,0.225,8.1,14.6,6.3,17.4,39.4,27671.0,52.1
421,WEST TOWN,Non-STEM,Free,face_to_face,478,28853.0,46.56066945606695,41.89783383769881,60.36192468619247,82236.0,60720.0,0.291,0.078,0.572,0.038,1.3,8.8,3.2,5.8,19.4,68188.0,14.8
422,WEST TOWN,Non-STEM,Free,online,8,105.0,17.375,41.89658356,13.125,82236.0,60720.0,0.291,0.078,0.572,0.038,1.3,8.8,3.2,5.8,19.4,68188.0,14.8
423,WEST TOWN,Non-STEM,Not Free,face_to_face,1095,15389.0,33.765296803652966,41.899875511251224,14.053881278538812,82236.0,60720.0,0.291,0.078,0.572,0.038,1.3,8.8,3.2,5.8,19.4,68188.0,14.8
424,WEST TOWN,Non-STEM,Not Free,online,102,1768.0,24.647058823529413,41.89528899166669,17.333333333333332,82236.0,60720.0,0.291,0.078,0.572,0.038,1.3,8.8,3.2,5.8,19.4,68188.0,14.8
425,WEST TOWN,STEM,Free,face_to_face,12,730.0,63.916666666666664,41.890553475833336,60.833333333333336,82236.0,60720.0,0.291,0.078,0.572,0.038,1.3,8.8,3.2,5.8,19.4,68188.0,14.8
426,WEST TOWN,STEM,Not Free,face_to_face,71,183.0,84.78873239436619,41.898159513380264,2.5774647887323945,82236.0,60720.0,0.291,0.078,0.572,0.038,1.3,8.8,3.2,5.8,19.4,68188.0,14.8
427,WEST TOWN,STEM,Not Free,online,3,45.0,11.0,41.90675736,15.0,82236.0,60720.0,0.291,0.078,0.572,0.038,1.3,8.8,3.2,5.8,19.4,68188.0,14.8
428,WOODLAWN,Non-STEM,Free,face_to_face,209,2022111.0,37.57416267942584,41.7844948108613,9675.172248803829,23740.0,27413.0,0.021,0.868,0.068,0.023,4.0,31.1,15.9,12.7,33.8,22457.0,53.1
429,WOODLAWN,Non-STEM,Free,online,5,175.0,52.8,41.795475010000004,35.0,23740.0,27413.0,0.021,0.868,0.068,0.023,4.0,31.1,15.9,12.7,33.8,22457.0,53.1
430,WOODLAWN,Non-STEM,Not Free,face_to_face,249,3375.0,65.83534136546184,41.781178654879156,13.55421686746988,23740.0,27413.0,0.021,0.868,0.068,0.023,4.0,31.1,15.9,12.7,33.8,22457.0,53.1
431,WOODLAWN,Non-STEM,Not Free,online,23,332.0,55.869565217391305,41.781738280000006,14.434782608695652,23740.0,27413.0,0.021,0.868,0.068,0.023,4.0,31.1,15.9,12.7,33.8,22457.0,53.1
432,WOODLAWN,STEM,Free,face_to_face,5,250.0,48.8,41.778427122,50.0,23740.0,27413.0,0.021,0.868,0.068,0.023,4.0,31.1,15.9,12.7,33.8,22457.0,53.1
433,WOODLAWN,STEM,Not Free,face_to_face,18,0.0,99.0,41.780250545,0.0,23740.0,27413.0,0.021,0.868,0.068,0.023,4.0,31.1,15.9,12.7,33.8,22457.0,53.1
