,Geographic Cluster Name,STEM,Free,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score
68,BRIGHTON PARK,Non-STEM,Free,online,4,3696.0,74.75,,924.0,45368.0,39289.0,0.853,0.012,0.081,0.05,9.2,18.8,10.7,34.0,37.5,18313.0,65.5
69,BRIGHTON PARK,Non-STEM,Not Free,face_to_face,35,1313.0,12.8,41.81929768599999,37.51428571428571,45368.0,39289.0,0.853,0.012,0.081,0.05,9.2,18.8,10.7,34.0,37.5,18313.0,65.5
70,BRIGHTON PARK,Non-STEM,Not Free,online,3,42.0,40.0,41.81925583,14.0,45368.0,39289.0,0.853,0.012,0.081,0.05,9.2,18.8,10.7,34.0,37.5,18313.0,65.5
71,BRIGHTON PARK,STEM,Free,face_to_face,8,1561.0,38.125,41.8150758725,195.125,45368.0,39289.0,0.853,0.012,0.081,0.05,9.2,18.8,10.7,34.0,37.5,18313.0,65.5
72,BURNSIDE,Non-STEM,Free,face_to_face,2,200.0,99.0,41.724086764999996,100.0,2916.0,32553.0,0.007,0.977,0.007,0.0,1.8,19.8,15.9,14.2,40.2,26587.0,49.1
73,Back of the Yards,Non-STEM,Free,face_to_face,955,1714800.0,34.54973821989529,41.80680746162455,1795.6020942408377,44377.0,32222.0,0.573,0.296,0.106,0.016,5.5,28.7,16.8,30.6,40.2,18040.0,67.0
74,Back of the Yards,Non-STEM,Free,online,2,1831.0,99.0,,915.5,44377.0,32222.0,0.573,0.296,0.106,0.016,5.5,28.7,16.8,30.6,40.2,18040.0,67.0
75,Back of the Yards,Non-STEM,Not Free,face_to_face,344,5349.0,52.18604651162791,41.807550485377945,15.549418604651162,44377.0,32222.0,0.573,0.296,0.106,0.016,5.5,28.7,16.8,30.6,40.2,18040.0,67.0
76,Back of the Yards,Non-STEM,Not Free,online,45,552.0,52.13333333333333,41.8401386651111,12.266666666666667,44377.0,32222.0,0.573,0.296,0.106,0.016,5.5,28.7,16.8,30.6,40.2,18040.0,67.0
77,Back of the Yards,STEM,Free,face_to_face,41,1198976.0,69.53658536585365,41.812197895609735,29243.317073170732,44377.0,32222.0,0.573,0.296,0.106,0.016,5.5,28.7,16.8,30.6,40.2,18040.0,67.0
78,Back of the Yards,STEM,Not Free,face_to_face,29,30.0,96.06896551724138,41.806765720689654,1.0344827586206897,44377.0,32222.0,0.573,0.296,0.106,0.016,5.5,28.7,16.8,30.6,40.2,18040.0,67.0
79,Bronzeville/South Lakefront,Non-STEM,Free,face_to_face,1964,2400690.0,41.12525458248472,41.815468839226625,1222.347250509165,46085.0,27215.0,0.01933333333333333,0.8693333333333332,0.046000000000000006,0.04533333333333334,1.8999999999999997,29.599999999999998,15.800000000000002,10.433333333333332,36.699999999999996,28819.0,48.800000000000004
80,Bronzeville/South Lakefront,Non-STEM,Free,online,24,2187.0,40.541666666666664,41.81950939529411,91.125,46085.0,27215.0,0.01933333333333333,0.8693333333333332,0.046000000000000006,0.04533333333333334,1.8999999999999997,29.599999999999998,15.800000000000002,10.433333333333332,36.699999999999996,28819.0,48.800000000000004
81,Bronzeville/South Lakefront,Non-STEM,Not Free,face_to_face,1762,23311.0,50.327468785471055,41.81531869310983,13.229852440408626,46085.0,27215.0,0.01933333333333333,0.8693333333333332,0.046000000000000006,0.04533333333333334,1.8999999999999997,29.599999999999998,15.800000000000002,10.433333333333332,36.699999999999996,28819.0,48.800000000000004
82,Bronzeville/South Lakefront,Non-STEM,Not Free,online,186,3397.0,31.43010752688172,41.806982204085955,18.263440860215052,46085.0,27215.0,0.01933333333333333,0.8693333333333332,0.046000000000000006,0.04533333333333334,1.8999999999999997,29.599999999999998,15.800000000000002,10.433333333333332,36.699999999999996,28819.0,48.800000000000004
83,Bronzeville/South Lakefront,STEM,Free,face_to_face,82,4780.0,43.5609756097561,41.8112029559756,58.292682926829265,46085.0,27215.0,0.01933333333333333,0.8693333333333332,0.046000000000000006,0.04533333333333334,1.8999999999999997,29.599999999999998,15.800000000000002,10.433333333333332,36.699999999999996,28819.0,48.800000000000004
84,Bronzeville/South Lakefront,STEM,Not Free,face_to_face,144,169.0,90.6875,41.81634709562498,1.1736111111111112,46085.0,27215.0,0.01933333333333333,0.8693333333333332,0.046000000000000006,0.04533333333333334,1.8999999999999997,29.599999999999998,15.800000000000002,10.433333333333332,36.699999999999996,28819.0,48.800000000000004
85,Bronzeville/South Lakefront,STEM,Not Free,online,2,30.0,13.0,41.83043671,15.0,46085.0,27215.0,0.01933333333333333,0.8693333333333332,0.046000000000000006,0.04533333333333334,1.8999999999999997,29.599999999999998,15.800000000000002,10.433333333333332,36.699999999999996,28819.0,48.800000000000004
86,CALUMET HEIGHTS,Non-STEM,Free,face_to_face,44,738.0,43.29545454545455,41.735731212045444,16.772727272727273,13812.0,55669.0,0.041,0.934,0.009,0.002,0.8,14.2,7.1,5.7,42.5,35884.0,36.5
87,CALUMET HEIGHTS,Non-STEM,Not Free,face_to_face,34,659.0,36.911764705882355,41.73440809970586,19.38235294117647,13812.0,55669.0,0.041,0.934,0.009,0.002,0.8,14.2,7.1,5.7,42.5,35884.0,36.5
88,CALUMET HEIGHTS,STEM,Free,face_to_face,1,0.0,19.0,41.73276138,0.0,13812.0,55669.0,0.041,0.934,0.009,0.002,0.8,14.2,7.1,5.7,42.5,35884.0,36.5
89,CHATHAM,Non-STEM,Free,face_to_face,275,27945.0,37.85090909090909,41.745719854306614,101.61818181818182,31028.0,32057.0,0.01,0.972,0.004,0.001,1.7,25.6,16.7,11.8,37.7,25788.0,49.2
90,CHATHAM,Non-STEM,Free,online,1,18.0,99.0,,18.0,31028.0,32057.0,0.01,0.972,0.004,0.001,1.7,25.6,16.7,11.8,37.7,25788.0,49.2
