,,TOTAL HOUSEHOLDS,,,,,,,,,TOTAL HOUSEHOLD POPULATION,,,,,,,,,TOTAL EMPLOYMENT (WAGE & SALARY),,,,,,,
4,Lincoln Square," 18,876 "," 19,140 "," 19,349 "," 19,374 "," 19,467 "," 19,388 "," 19,290 "," 19,273 ",," 40,188 "," 40,936 "," 41,558 "," 41,966 "," 42,400 "," 42,539 "," 42,539 "," 42,539 ",," 11,342 "," 11,579 "," 11,711 "," 11,855 "," 12,059 "," 12,183 "," 12,191 "," 12,200 "
22,Logan Square," 30,166 "," 31,542 "," 31,701 "," 31,450 "," 31,184 "," 30,856 "," 30,630 "," 30,605 ",," 73,316 "," 76,557 "," 77,368 "," 77,730 "," 77,841 "," 77,841 "," 77,841 "," 77,841 ",," 19,922 "," 20,686 "," 21,005 "," 21,200 "," 21,361 "," 21,380 "," 21,392 "," 21,405 "
31,Lower West Side," 11,872 "," 12,719 "," 13,427 "," 13,842 "," 13,960 "," 13,880 "," 13,823 "," 13,819 ",," 34,316 "," 36,361 "," 37,920 "," 38,995 "," 39,437 "," 39,437 "," 39,437 "," 39,437 ",," 11,628 "," 12,695 "," 13,177 "," 13,449 "," 13,566 "," 13,639 "," 13,724 "," 13,911 "
59,McKinley Park," 5,355 "," 5,576 "," 5,775 "," 5,938 "," 6,143 "," 6,243 "," 6,319 "," 6,313 ",," 16,307 "," 16,921 "," 17,454 "," 17,909 "," 18,452 "," 18,739 "," 18,945 "," 18,945 ",," 6,406 "," 6,707 "," 6,789 "," 6,900 "," 7,052 "," 7,207 "," 7,240 "," 7,276 "
18,Montclare," 4,354 "," 4,540 "," 4,701 "," 4,926 "," 5,098 "," 5,151 "," 5,159 "," 5,159 ",," 12,934 "," 13,365 "," 13,701 "," 14,163 "," 14,543 "," 14,649 "," 14,649 "," 14,649 ",," 2,217 "," 2,247 "," 2,302 "," 2,393 "," 2,502 "," 2,557 "," 2,559 "," 2,561 "
75,Morgan Park," 8,472 "," 8,824 "," 9,283 "," 9,816 "," 10,368 "," 10,846 "," 11,098 "," 11,112 ",," 22,569 "," 23,097 "," 23,723 "," 24,500 "," 25,487 "," 26,439 "," 26,949 "," 26,949 ",," 3,499 "," 3,570 "," 3,694 "," 3,892 "," 4,179 "," 4,564 "," 4,812 "," 4,860 "
74,Mount Greenwood," 6,958 "," 7,176 "," 7,454 "," 7,781 "," 8,087 "," 8,342 "," 8,413 "," 8,412 ",," 18,072 "," 18,521 "," 19,044 "," 19,644 "," 20,244 "," 20,777 "," 20,907 "," 20,907 ",," 3,477 "," 3,616 "," 3,741 "," 3,931 "," 4,141 "," 4,416 "," 4,605 "," 4,611 "
8,Near North Side," 54,220 "," 65,187 "," 66,671 "," 66,369 "," 65,863 "," 65,206 "," 64,684 "," 64,721 ",," 83,864 "," 98,781 "," 100,430 "," 100,598 "," 100,598 "," 100,598 "," 100,598 "," 100,598 ",," 168,551 "," 176,888 "," 178,343 "," 178,677 "," 178,778 "," 178,878 "," 178,929 "," 178,985 "
33,Near South Side," 12,608 "," 14,984 "," 15,256 "," 15,552 "," 15,851 "," 15,787 "," 15,796 "," 15,815 ",," 22,215 "," 25,812 "," 26,274 "," 26,820 "," 27,377 "," 27,449 "," 27,589 "," 27,630 ",," 16,124 "," 19,073 "," 19,198 "," 19,375 "," 19,634 "," 19,750 "," 19,865 "," 20,099 "
28,Near West Side," 29,116 "," 34,803 "," 35,662 "," 36,203 "," 36,831 "," 36,884 "," 36,993 "," 37,463 ",," 57,548 "," 67,394 "," 69,049 "," 70,449 "," 71,960 "," 72,689 "," 73,362 "," 74,289 ",," 163,849 "," 185,869 "," 192,830 "," 194,844 "," 195,853 "," 196,852 "," 197,758 "," 198,817 "
